Month,Hour,Day Type,Equipment Electric Power,Solar generation,Electricity Pricing,kg_CO2
8,17,2,2.940466667,1.214875,0.54,0.2472611
8,18,2,2.455766667,0.416041667,0.54,0.236513843
8,19,2,5.264016667,0.034520833,0.54,0.225780609
8,20,2,5.192933333,0,0.54,0.221760074
8,21,2,3.931883333,0,0.22,0.218047563
8,22,2,1.89485,0,0.22,0.206334679
8,23,2,1.353366667,0,0.22,0.192631849
8,24,2,1.79045,0,0.22,0.179445538
8,1,3,0.964333333,0,0.22,0.164959179
8,2,3,0.969783333,0,0.22,0.157301437
8,3,3,0.980033333,0,0.22,0.159028375
8,4,3,0.973683333,0,0.22,0.156899339
8,5,3,1.41885,0,0.22,0.157383523
8,6,3,1.828366667,0.087166667,0.22,0.167902475
8,7,3,1.467016667,0.604833334,0.22,0.178722737
8,8,3,0.973216667,1.381791667,0.22,0.203115225
8,9,3,1.484133333,2.17025,0.22,0.213814614
8,10,3,1.878533333,2.897291667,0.22,0.215514975
8,11,3,2.6247,3.614541667,0.22,0.231230607
8,12,3,2.364416667,3.817375,0.22,0.240237428
8,13,3,1.7574,3.782020834,0.22,0.245547616
8,14,3,2.007266667,3.477895834,0.22,0.243696261
8,15,3,1.046266667,2.910270834,0.22,0.245652764
8,16,3,0.6874,2.118166667,0.54,0.249076077
8,17,3,0.661116667,1.2245,0.54,0.247514031
8,18,3,2.25715,0.399166667,0.54,0.249968532
8,19,3,1.569466667,0.0259375,0.54,0.251275987
8,20,3,4.687783333,0,0.54,0.245602433
8,21,3,4.039583333,0,0.22,0.237834836
8,22,3,2.9469,0,0.22,0.214810252
8,23,3,2.2459,0,0.22,0.196685107
8,24,3,0.912883333,0,0.22,0.175583999
8,1,4,0.83335,0,0.22,0.170252216
8,2,4,0.8093,0,0.22,0.158084038
8,3,4,0.82605,0,0.22,0.156934374
8,4,4,0.820566667,0,0.22,0.160846494
8,5,4,1.213833333,0,0.22,0.167702865
8,6,4,0.776,0.052458333,0.22,0.169009434
8,7,4,0.831266667,0.5623125,0.22,0.182723892
8,8,4,0.57005,1.144416667,0.22,0.200148591
8,9,4,0.84525,1.931791667,0.22,0.205994471
8,10,4,1.254366667,3.021354167,0.22,0.211852394
8,11,4,0.533933333,3.517041667,0.22,0.226020694
8,12,4,0.517383333,3.766583334,0.22,0.227959866
8,13,4,1.53225,3.743854167,0.22,0.225446104
8,14,4,1.41865,3.466520834,0.22,0.224838237
8,15,4,0.573383333,2.915125,0.22,0.23203483
8,16,4,0.72395,2.100333334,0.54,0.232318505
8,17,4,1.837533333,1.183895834,0.54,0.234055991
8,18,4,4.254133333,0.387583333,0.54,0.233500435
8,19,4,4.292933333,0.025729167,0.54,0.222798125
8,20,4,4.10335,0,0.54,0.218976397
8,21,4,2.7808,0,0.22,0.211730248
8,22,4,2.147883333,0,0.22,0.192744416
8,23,4,1.981216667,0,0.22,0.16744999
8,24,4,1.109383333,0,0.22,0.155707331
8,1,5,1.011766667,0,0.22,0.150139284
8,2,5,2.189766667,0,0.22,0.144737348
8,3,5,2.181633333,0,0.22,0.152454489
8,4,5,1.71535,0,0.22,0.152281554
8,5,5,0.993433333,0,0.22,0.162601533
8,6,5,1.92805,0.068958333,0.22,0.163990313
8,7,5,0.92415,0.610708334,0.22,0.175024954
8,8,5,0.734633333,1.389479167,0.22,0.185126069
8,9,5,0.84395,2.2785625,0.22,0.194916337
8,10,5,0.74285,3.0398125,0.22,0.204189336
8,11,5,0.689433333,3.568604167,0.22,0.221456217
8,12,5,0.708133333,3.8265625,0.22,0.215054241
8,13,5,0.637275,3.797833334,0.22,0.208459148
8,14,5,0.655183333,3.496604167,0.22,0.202628688
8,15,5,0.63085,2.945583334,0.22,0.198233007
8,16,5,0.655716667,2.14975,0.54,0.193537565
8,17,5,1.019866667,1.232625,0.54,0.197596264
8,18,5,2.740133333,0.4063125,0.54,0.210797511
8,19,5,2.048183333,0.020958333,0.54,0.212768618
8,20,5,3.058033333,0,0.54,0.210974141
8,21,5,3.6221,0,0.22,0.189584042
8,22,5,3.5694,0,0.22,0.158120416
8,23,5,2.344933333,0,0.22,0.151554461
8,24,5,2.208416667,0,0.22,0.136222185
8,1,6,1.1773,0,0.22,0.120232887
8,2,6,1.06665,0,0.22,0.116866356
8,3,6,1.083533333,0,0.22,0.121238741
8,4,6,0.871883333,0,0.22,0.116806501
8,5,6,1.310666667,0,0.22,0.117776032
8,6,6,1.55265,0.065083333,0.22,0.122667511
8,7,6,0.787266667,0.622208334,0.22,0.119220209
8,8,6,1.220866667,1.411666667,0.22,0.127136918
8,9,6,1.669666667,2.3169375,0.22,0.142221787
8,10,6,1.321066667,3.0819375,0.22,0.158952836
8,11,6,1.24385,3.600729167,0.22,0.168552644
8,12,6,1.160716667,3.833479167,0.22,0.174538085
8,13,6,1.580433333,3.814854167,0.22,0.176565932
8,14,6,1.922266667,3.519145834,0.22,0.17817705
8,15,6,1.2551,2.981875,0.22,0.179068814
8,16,6,4.2199,2.171854167,0.4,0.177239496
8,17,6,3.833916667,1.231729167,0.4,0.181898019
8,18,6,3.333129167,0.397682292,0.4,0.187255355
8,19,6,2.269983333,0.0184375,0.4,0.189491962
8,20,6,1.91925,0,0.4,0.18843024
8,21,6,2.50405,0,0.22,0.187124612
8,22,6,3.047433333,0,0.22,0.171218951
8,23,6,2.167333333,0,0.22,0.154094635
8,24,6,1.895633333,0,0.22,0.146224216
8,1,7,1.014683333,0,0.22,0.142514321
8,2,7,1.053933333,0,0.22,0.140922901
8,3,7,1.181666667,0,0.22,0.138052777
8,4,7,1.14585,0,0.22,0.140764431
8,5,7,1.08825,0,0.22,0.150496172
8,6,7,1.063866667,0.0633125,0.22,0.160009949
8,7,7,0.8833,0.627229167,0.22,0.171795008
8,8,7,0.689283333,1.424375,0.22,0.192320835
8,9,7,0.73805,2.339,0.22,0.198253106
8,10,7,1.127666667,3.095604167,0.22,0.201965631
8,11,7,0.8103,3.6098125,0.22,0.206012494
8,12,7,0.620916667,3.852354167,0.22,0.209115809
8,13,7,1.317983333,3.811145834,0.22,0.211772426
8,14,7,1.200633333,3.535520834,0.22,0.209193881
8,15,7,1.66305,2.971479167,0.22,0.201959706
8,16,7,3.416283333,2.1395625,0.4,0.199106249
8,17,7,3.394116667,1.203583334,0.4,0.200607485
8,18,7,3.750783333,0.380708333,0.4,0.200293564
8,19,7,3.72305,0.011979167,0.4,0.200979254
8,20,7,3.9582,0,0.4,0.201285063
8,21,7,2.04575,0,0.22,0.191621344
8,22,7,2.148133333,0,0.22,0.17962455
8,23,7,0.884683333,0,0.22,0.167309834
8,24,7,2.015208333,0,0.22,0.149089813
8,1,1,0.868233333,0,0.22,0.14422876
8,2,1,0.858383333,0,0.22,0.139924148
8,3,1,0.751716667,0,0.22,0.142054887
8,4,1,0.926516667,0,0.22,0.141123548
8,5,1,1.057333333,0,0.22,0.146978107
8,6,1,1.509716667,0.047479167,0.22,0.157425106
8,7,1,0.983416667,0.628083334,0.22,0.167966386
8,8,1,0.722216667,1.420395834,0.22,0.18931839
8,9,1,0.65195,2.336208334,0.22,0.200794345
8,10,1,0.729116667,3.090875,0.22,0.198355914
8,11,1,1.1015,3.605583334,0.22,0.200620718
8,12,1,0.846116667,3.850270834,0.22,0.201937503
8,13,1,0.68235,3.826479167,0.22,0.203323791
8,14,1,0.6919,3.533104167,0.22,0.206334472
8,15,1,0.666866667,2.966583334,0.22,0.207808203
8,16,1,0.634566667,2.1655625,0.54,0.204829041
8,17,1,0.97805,1.23425,0.54,0.207238901
8,18,1,3.423683333,0.39375,0.54,0.20766042
8,19,1,3.472083333,0.013708333,0.54,0.207287073
8,20,1,3.939783333,0,0.54,0.205913354
8,21,1,3.669866667,0,0.22,0.193582041
8,22,1,1.868133333,0,0.22,0.170468561
8,23,1,1.137983333,0,0.22,0.156312582
8,24,1,1.473616667,0,0.22,0.135887417
8,1,2,1.756333333,0,0.22,0.128067703
8,2,2,2.64235,0,0.22,0.1285225
8,3,2,1.467716667,0,0.22,0.122939406
8,4,2,1.4675,0,0.22,0.123720194
8,5,2,1.1095,0,0.22,0.128624713
8,6,2,1.26415,0.083875,0.22,0.136038855
8,7,2,1.000133333,0.652729167,0.22,0.151826481
8,8,2,0.641116667,1.4668125,0.22,0.167848544
8,9,2,0.687233333,2.391895834,0.22,0.179835095
8,10,2,0.6525,3.1715,0.22,0.180359021
8,11,2,0.658166667,3.7029375,0.22,0.186981439
8,12,2,0.8329,3.946083334,0.22,0.192898193
8,13,2,0.601816667,3.900229167,0.22,0.199682499
8,14,2,0.672983333,3.584854167,0.22,0.200175833
8,15,2,1.0372,3.003875,0.22,0.205704526
8,16,2,0.669583333,2.199333334,0.54,0.213303354
8,17,2,0.5535,1.2465,0.54,0.221989168
8,18,2,1.80705,0.380229167,0.54,0.227087191
8,19,2,3.131283252,0.009,0.54,0.219859287
8,20,2,5.363066667,0,0.54,0.214030046
8,21,2,2.805516667,0,0.22,0.2042864
8,22,2,2.31805,0,0.22,0.190879274
8,23,2,1.72315,0,0.22,0.167551345
8,24,2,1.489891667,0,0.22,0.139037603
8,1,3,0.753916667,0,0.22,0.128324399
8,2,3,1.00465,0,0.22,0.125245627
8,3,3,1.60625,0,0.22,0.125261781
8,4,3,0.497966672,0,0.22,0.124736734
8,5,3,1.545133333,0,0.22,0.127860979
8,6,3,1.406683335,0.042479167,0.22,0.133986063
8,7,3,0.81495,0.639166667,0.22,0.149967388
8,8,3,1.20685,1.466604167,0.22,0.170966159
8,9,3,1.443383333,2.3874375,0.22,0.184279709
8,10,3,0.659833333,3.162229167,0.22,0.201266985
8,11,3,0.637983333,3.675895834,0.22,0.207849689
8,12,3,0.661233333,3.954333334,0.22,0.214957994
8,13,3,0.629816667,3.907625,0.22,0.220329255
8,14,3,1.441683333,3.554854167,0.22,0.222729245
8,15,3,2.483033333,2.962020834,0.22,0.225376559
8,16,3,1.910166667,2.170645834,0.54,0.227619423
8,17,3,1.161183333,1.225145834,0.54,0.228857319
8,18,3,0.895733333,0.368958333,0.54,0.223583938
8,19,3,0.583783333,0.007520833,0.54,0.215415891
8,20,3,1.36415,0,0.54,0.205312256
8,21,3,2.868566667,0,0.22,0.196212759
8,22,3,2.16605,0,0.22,0.186631569
8,23,3,1.767183333,0,0.22,0.165772552
8,24,3,1.7916,0,0.22,0.141335616
8,1,4,0.790816667,0,0.22,0.131684383
8,2,4,0.8059,0,0.22,0.130912233
8,3,4,0.765033333,0,0.22,0.129383602
8,4,4,0.778566667,0,0.22,0.128692182
8,5,4,2.014216667,0,0.22,0.134894368
8,6,4,0.84745,0.038916667,0.22,0.141746531
8,7,4,0.789416667,0.615625,0.22,0.151787556
8,8,4,1.0594,1.4410625,0.22,0.166716267
8,9,4,1.669283333,2.355645834,0.22,0.186163955
8,10,4,1.88965,3.099333334,0.22,0.200043817
8,11,4,2.127816667,3.6165,0.22,0.208753703
8,12,4,2.351566667,3.839645834,0.22,0.210875444
8,13,4,0.91465,3.79025,0.22,0.214028675
8,14,4,0.52695,3.446208334,0.22,0.215823885
8,15,4,0.640733333,2.881,0.22,0.217340777
8,16,4,0.511016667,2.090125,0.54,0.21607946
8,17,4,0.588533333,1.163625,0.54,0.214623267
8,18,4,0.9142,0.3504375,0.54,0.210543002
8,19,4,1.542283333,0.006166667,0.54,0.201840107
8,20,4,4.202466667,0,0.54,0.200585212
8,21,4,2.810666667,0,0.22,0.184369824
8,22,4,3.45985,0,0.22,0.168201681
8,23,4,2.80885,0,0.22,0.15477811
8,24,4,1.273608333,0,0.22,0.135467477
8,1,5,0.854716667,0,0.22,0.125164233
8,2,5,0.8027,0,0.22,0.122069791
8,3,5,0.968533333,0,0.22,0.119019659
8,4,5,0.824666667,0,0.22,0.119572765
8,5,5,0.822983333,0,0.22,0.122675194
8,6,5,0.846366667,0.044208333,0.22,0.127964411
8,7,5,0.8179,0.546104167,0.22,0.129229216
8,8,5,1.123533333,1.321666667,0.22,0.142584322
8,9,5,1.505416667,2.210166667,0.22,0.153311992
8,10,5,1.814666667,2.953479167,0.22,0.17414947
8,11,5,1.9106,3.459333334,0.22,0.181612655
8,12,5,2.923266667,3.700416667,0.22,0.182946577
8,13,5,2.19085,3.6715,0.22,0.184840996
8,14,5,1.299266667,3.394854167,0.22,0.187889481
8,15,5,0.443816667,2.834770834,0.22,0.191261148
8,16,5,0.37885,2.023020834,0.54,0.188430309
8,17,5,0.427916667,1.112125,0.54,0.19303958
8,18,5,1.182766667,0.330270833,0.54,0.198444521
8,19,5,0.7854,0.007208333,0.54,0.195061074
8,20,5,1.054616667,0,0.54,0.191599902
8,21,5,1.119416667,0,0.22,0.183836832
8,22,5,0.5542,0,0.22,0.171710001
8,23,5,0.57415,0,0.22,0.156639362
8,24,5,0.542341667,0,0.22,0.145751258
8,1,6,2.554916667,0,0.22,0.143074652
8,2,6,0.539183333,0,0.22,0.137237272
8,3,6,0.5669,0,0.22,0.136501957
8,4,6,0.479,0,0.22,0.132436669
8,5,6,0.713566667,0,0.22,0.130842328
8,6,6,1.05175,0.023270833,0.22,0.129846012
8,7,6,0.807766667,0.4730625,0.22,0.130164971
8,8,6,0.5459375,1.324005209,0.22,0.142107946
8,9,6,0.64795,2.212916667,0.22,0.157846984
8,10,6,0.746633333,2.933979167,0.22,0.177662994
8,11,6,0.80875,3.427833334,0.22,0.18359366
8,12,6,1.21745,3.664083334,0.22,0.189477026
8,13,6,1.629683333,3.656583334,0.22,0.192532501
8,14,6,2.0857,3.350375,0.22,0.197428936
8,15,6,0.55605,2.805354167,0.22,0.201948798
8,16,6,0.551816667,2.008875,0.4,0.208015135
8,17,6,0.5109,1.0864375,0.4,0.209382181
8,18,6,1.7861,0.319708333,0.4,0.213103828
8,19,6,0.7979,0.004666667,0.4,0.2144585
8,20,6,0.864566667,0,0.4,0.206365077
8,21,6,0.762,0,0.22,0.198864558
8,22,6,0.565866667,0,0.22,0.186194311
8,23,6,0.4205,0,0.22,0.168808524
8,24,6,0.438083333,0,0.22,0.143375174
8,1,7,2.533483333,0,0.22,0.139070687
8,2,7,1.201466667,0,0.22,0.136526749
8,3,7,0.513183333,0,0.22,0.132855391
8,4,7,0.528733333,0,0.22,0.132727306
8,5,7,0.516433333,0,0.22,0.138465879
8,6,7,1.2016,0.026229167,0.22,0.143514277
8,7,7,0.924033333,0.468979167,0.22,0.157367853
8,8,7,0.960333333,1.315125,0.22,0.170977316
8,9,7,1.559816667,2.203645834,0.22,0.182170745
8,10,7,2.223983333,2.937479167,0.22,0.194052784
8,11,7,2.327683333,3.436229167,0.22,0.2086891
8,12,7,2.412233333,3.6646875,0.22,0.208664931
8,13,7,2.483783333,3.627354167,0.22,0.209876249
8,14,7,2.377733333,3.3641875,0.22,0.217462772
8,15,7,1.26975,2.830270834,0.22,0.220576358
8,16,7,2.67195,2.040875,0.4,0.222579469
8,17,7,2.547416667,1.112645834,0.4,0.21970803
8,18,7,2.0896,0.324645833,0.4,0.216674896
8,19,7,2.7026,0.004541667,0.4,0.214047903
8,20,7,2.604266667,0,0.4,0.213968709
8,21,7,1.378583333,0,0.22,0.215287861
8,22,7,0.999816667,0,0.22,0.194112584
8,23,7,1.6214,0,0.22,0.178791603
8,24,7,1.619283333,0,0.22,0.164408122
8,1,1,0.847483333,0,0.22,0.153350225
8,2,1,0.871916667,0,0.22,0.152097448
8,3,1,0.845366667,0,0.22,0.147081359
8,4,1,0.856916667,0,0.22,0.149953573
8,5,1,1.3805,0,0.22,0.152135737
8,6,1,3.4149,0.015854167,0.22,0.163028603
8,7,1,3.330466667,0.4713125,0.22,0.176840513
8,8,1,2.633916667,1.334479167,0.22,0.192284041
8,9,1,2.498183333,2.2365625,0.22,0.203689247
8,10,1,2.62875,2.977145834,0.22,0.208694304
8,11,1,2.697733333,3.489270834,0.22,0.210439875
8,12,1,3.673916667,3.693041667,0.22,0.211507785
8,13,1,3.699283333,3.668270834,0.22,0.214128466
8,14,1,2.376016667,3.407375,0.22,0.212492445
8,15,1,2.75265,2.855708334,0.22,0.208755336
8,16,1,2.885866667,2.0600625,0.54,0.212540437
8,17,1,5.381416667,1.115708334,0.54,0.214913088
8,18,1,1.73735,0.325479167,0.54,0.213453629
8,19,1,2.062,0.002166667,0.54,0.213438541
8,20,1,3.722716667,0,0.54,0.214948359
8,21,1,3.594266667,0,0.22,0.207455592
8,22,1,3.709383333,0,0.22,0.19945742
8,23,1,0.995416667,0,0.22,0.191768642
8,24,1,2.437141667,0,0.22,0.172662754
8,1,2,0.86255,0,0.22,0.159044294
8,2,2,0.8589,0,0.22,0.157948824
8,3,2,0.865116667,0,0.22,0.158444663
8,4,2,0.815816667,0,0.22,0.158130161
8,5,2,0.981883333,0,0.22,0.160286661
8,6,2,1.252666667,0.023479167,0.22,0.169397911
8,7,2,1.1138,0.5155625,0.22,0.186758657
8,8,2,1.55635,1.4354375,0.22,0.195116181
8,9,2,1.99335,2.369916667,0.22,0.207615985
8,10,2,1.955816667,3.135,0.22,0.212810242
8,11,2,2.129916667,3.648104167,0.22,0.217068052
8,12,2,3.0743,3.872208334,0.22,0.223075447
8,13,2,3.838783333,3.844666667,0.22,0.229344257
8,14,2,2.974466667,3.518083334,0.22,0.230877151
8,15,2,2.781333333,2.936375,0.22,0.229965095
8,16,2,2.28025,2.132416667,0.54,0.234233591
8,17,2,2.8699,1.190458334,0.54,0.234652715
8,18,2,3.6662,0.3363125,0.54,0.236860986
8,19,2,4.8318,0,0.54,0.239469694
8,20,2,3.216783333,0,0.54,0.228690295
8,21,2,2.20765,0,0.22,0.219425919
8,22,2,1.418716667,0,0.22,0.205291132
8,23,2,1.827066667,0,0.22,0.189213478
8,24,2,0.992633333,0,0.22,0.168344217
8,1,3,2.525166667,0,0.22,0.160704789
8,2,3,2.211566667,0,0.22,0.157031175
8,3,3,1.739633333,0,0.22,0.149441081
8,4,3,1.369633333,0,0.22,0.150431583
8,5,3,0.86795,0,0.22,0.152191938
8,6,3,0.6781,0.021354167,0.22,0.159811032
8,7,3,1.265283333,0.4915,0.22,0.169598364
8,8,3,1.3456,1.387270834,0.22,0.184838851
8,9,3,2.080333333,2.298083334,0.22,0.195186861
8,10,3,2.786783333,3.034375,0.22,0.199316544
8,11,3,2.785416667,3.553791667,0.22,0.202872109
8,12,3,0.11765,3.7990625,0.22,0.213030075
8,13,3,1.477683333,3.767479167,0.22,0.224455865
8,14,3,1.945183333,3.468708334,0.22,0.225162817
8,15,3,3.212266667,2.8736875,0.22,0.224052065
8,16,3,1.94765,2.059395834,0.54,0.226521586
8,17,3,2.9825,1.128395834,0.54,0.22835435
8,18,3,4.461633333,0.3115,0.54,0.226583019
8,19,3,4.432316667,0.001041667,0.54,0.217495661
8,20,3,4.155616667,0,0.54,0.212148791
8,21,3,1.58125,0,0.22,0.204432203
8,22,3,2.4762,0,0.22,0.184955931
8,23,3,2.0476,0,0.22,0.175523604
8,24,3,1.215166667,0,0.22,0.160451913
8,1,4,0.86385,0,0.22,0.153597757
8,2,4,0.845483333,0,0.22,0.150607272
8,3,4,0.8534,0,0.22,0.149661136
8,4,4,1.062583333,0,0.22,0.147018431
8,5,4,0.92635,0,0.22,0.1534871
8,6,4,0.874,0.022854167,0.22,0.163796559
8,7,4,1.1201125,0.473744792,0.22,0.17936982
8,8,4,1.51415,1.365541667,0.22,0.199984433
8,9,4,2.271216667,2.267020834,0.22,0.213561601
8,10,4,2.816266667,2.998666667,0.22,0.220150589
8,11,4,2.4197,3.495604167,0.22,0.225560194
8,12,4,0.395066667,3.710354167,0.22,0.227621458
8,13,4,1.232533333,3.689270834,0.22,0.231167332
8,14,4,1.988966667,3.370333334,0.22,0.22715567
8,15,4,1.874366667,2.803645834,0.22,0.227539828
8,16,4,2.754616667,2.028083334,0.54,0.235352898
8,17,4,2.343833333,1.104145834,0.54,0.235846716
8,18,4,3.536266667,0.300875,0.54,0.232745962
8,19,4,2.692583333,0,0.54,0.233040697
8,20,4,2.403483333,0,0.54,0.231097677
8,21,4,1.423533333,0,0.22,0.21602564
8,22,4,1.873233333,0,0.22,0.201949615
8,23,4,0.7824,0,0.22,0.194488049
8,24,4,1.828483333,0,0.22,0.186392149
8,1,5,0.906666667,0,0.22,0.173463752
8,2,5,3.29255,0,0.22,0.168745858
8,3,5,0.995783333,0,0.22,0.165598012
8,4,5,1.32045,0,0.22,0.164676016
8,5,5,1.301733333,0,0.22,0.16682853
8,6,5,0.690333333,0.021729167,0.22,0.16927247
8,7,5,0.776083333,0.463875,0.22,0.166706895
8,8,5,1.40145,1.3315,0.22,0.177261229
8,9,5,1.5767,2.232916667,0.22,0.19046624
8,10,5,2.152533333,2.974208334,0.22,0.197576386
8,11,5,3.138283333,3.485458334,0.22,0.205415577
8,12,5,1.5559,3.7361875,0.22,0.21244999
8,13,5,1.317266667,3.721458334,0.22,0.219676054
8,14,5,1.11665,3.4295,0.22,0.223829228
8,15,5,0.632016667,2.839270834,0.22,0.224669967
8,16,5,0.725933333,1.977229167,0.54,0.227541157
8,17,5,0.669183333,1.044020834,0.54,0.232062446
8,18,5,2.223816667,0.263520833,0.54,0.229893072
8,19,5,0.515066667,0,0.54,0.220579251
8,20,5,0.4535,0,0.54,0.212354698
8,21,5,0.458383333,0,0.22,0.205711502
8,22,5,0.463083333,0,0.22,0.198804634
8,23,5,2.997716667,0,0.22,0.196323042
8,24,5,3.270516667,0,0.22,0.181267201
8,1,6,0.685966667,0,0.22,0.163460435
8,2,6,0.6241,0,0.22,0.163442689
8,3,6,0.61155,0,0.22,0.160242766
8,4,6,1.8055,0,0.22,0.156494223
8,5,6,1.81925,0,0.22,0.156261807
8,6,6,0.78185,0.0294375,0.22,0.157553758
8,7,6,1.158683333,0.432166667,0.22,0.153652324
8,8,6,1.237366667,1.2340625,0.22,0.15619337
8,9,6,1.975433333,2.075666667,0.22,0.172092677
8,10,6,2.616366667,2.801645834,0.22,0.184270269
8,11,6,3.03325,3.3243125,0.22,0.193683313
8,12,6,2.420116667,3.563145834,0.22,0.201642449
8,13,6,2.303133333,3.520125,0.22,0.209120516
8,14,6,2.39555,3.238791667,0.22,0.213046839
8,15,6,2.326666667,2.6904375,0.22,0.21532997
8,16,6,2.840216667,1.831479167,0.4,0.220425156
8,17,6,0.909533333,1.007479167,0.4,0.222689711
8,18,6,0.65405,0.3048125,0.4,0.224816726
8,19,6,2.199616667,0.006083333,0.4,0.224831953
8,20,6,2.60215,0,0.4,0.22538827
8,21,6,2.15355,0,0.22,0.216520164
8,22,6,3.31695,0,0.22,0.20304233
8,23,6,1.541833333,0,0.22,0.18962395
8,24,6,2.00515,0,0.22,0.170175916
8,1,7,0.951916667,0,0.22,0.160336522
8,2,7,0.799533333,0,0.22,0.157721931
8,3,7,0.983233333,0,0.22,0.156949227
8,4,7,0.821216667,0,0.22,0.15609088
8,5,7,0.769316667,0,0.22,0.16041894
8,6,7,0.7634,0.048645833,0.22,0.167361315
8,7,7,0.6094,0.4385625,0.22,0.177295973
8,8,7,1.387616667,1.154958334,0.22,0.189997338
8,9,7,2.402366667,1.819104167,0.22,0.207364937
8,10,7,2.619033333,2.875770834,0.22,0.217713003
8,11,7,2.624766667,2.280229167,0.22,0.22372174
8,12,7,2.567016667,1.620770834,0.22,0.231222343
8,13,7,1.226116667,3.054041667,0.22,0.238195572
8,14,7,2.929966667,1.531208334,0.22,0.24522802
8,15,7,2.997016667,2.015208334,0.22,0.24058734
8,16,7,2.447383333,1.920458334,0.4,0.239444833
8,17,7,1.006633333,1.012145834,0.4,0.241287163
8,18,7,0.897016667,0.279916667,0.4,0.241641227
8,19,7,3.7014,0,0.4,0.242133163
8,20,7,4.072383333,0,0.4,0.23785499
8,21,7,3.8306,0,0.22,0.22702969
8,22,7,1.17795,0,0.22,0.21306464
8,23,7,1.656783333,0,0.22,0.19580601
8,24,7,1.3112,0,0.22,0.180208123
8,1,1,2.117183333,0,0.22,0.174554682
8,2,1,2.042766667,0,0.22,0.172713667
8,3,1,1.2069,0,0.22,0.168840638
8,4,1,1.0077,0,0.22,0.170137808
8,5,1,1.2844,0,0.22,0.175432077
8,6,1,0.741016667,0.0226875,0.22,0.180692916
8,7,1,0.61785,0.4431875,0.22,0.190232149
8,8,1,0.60905,1.2645625,0.22,0.200028909
8,9,1,0.744633333,2.165229167,0.22,0.21430936
8,10,1,2.752266667,2.904479167,0.22,0.229982536
8,11,1,3.166033333,3.416979167,0.22,0.231964676
8,12,1,2.390433333,3.6738125,0.22,0.242123168
8,13,1,0.608133333,3.685625,0.22,0.250394633
8,14,1,0.61855,3.380333334,0.22,0.256276047
8,15,1,0.59125,2.809020834,0.22,0.255704323
8,16,1,0.640483333,1.59025,0.54,0.251565933
8,17,1,1.341066667,0.9430625,0.54,0.249806049
8,18,1,3.715916667,0.218854167,0.54,0.259302328
8,19,1,2.756016667,0,0.54,0.258033245
8,20,1,0.9534,0,0.54,0.251370532
8,21,1,1.70245,0,0.22,0.247649355
8,22,1,0.843733333,0,0.22,0.234858249
8,23,1,1.106833333,0,0.22,0.214466487
8,24,1,3.402866667,0,0.22,0.165455641
8,1,2,0.92125,0,0.22,0.152162024
8,2,2,0.845616667,0,0.22,0.143551694
8,3,2,0.795916667,0,0.22,0.142861644
8,4,2,0.767416667,0,0.22,0.143574479
8,5,2,0.890216667,0,0.22,0.145942395
8,6,2,0.8754,0.023708333,0.22,0.161011608
8,7,2,0.650016667,0.445583333,0.22,0.179766339
8,8,2,0.608533333,1.2746875,0.22,0.19636767
8,9,2,0.63225,2.1334375,0.22,0.192940233
